mac,rssi,timestamp,team
80:E1:26:07:C4:0A,-66,2020-01-08 14:49:58.514346,30
80:E1:26:07:E0:F2,-73,2020-01-08 14:50:02.510484,30
80:E1:26:07:E0:F2,-73,2020-01-08 14:50:01.263080,30
80:E1:26:07:E0:F2,-86,2020-01-08 14:50:04.911895,121
80:E1:26:07:C4:0A,-59,2020-01-08 14:50:05.837383,15
80:E1:26:07:C4:0A,-88,2020-01-08 14:50:14.901015,121
80:E1:26:07:C4:0A,-55,2020-01-08 14:50:16.948802,15
80:E1:26:07:E0:F2,-69,2020-01-08 14:50:22.506823,30
80:E1:26:07:E0:F2,-69,2020-01-08 14:50:21.202732,30
80:E1:26:07:C4:0A,-76,2020-01-08 14:50:24.895358,121
80:E1:26:07:E0:F2,-78,2020-01-08 14:50:25.885479,15
80:E1:26:07:C4:0A,-55,2020-01-08 14:50:26.901057,15
80:E1:26:07:C4:0A,-72,2020-01-08 14:50:32.537205,30
80:E1:26:07:C4:0A,-72,2020-01-08 14:50:31.209286,30
80:E1:26:07:C4:0A,-80,2020-01-08 14:50:34.908179,121
80:E1:26:07:C4:0A,-56,2020-01-08 14:50:35.910999,15
80:E1:26:07:C4:0A,-78,2020-01-08 14:50:44.943255,121
80:E1:26:07:C4:0A,-55,2020-01-08 14:50:45.914029,15
80:E1:26:07:E0:F2,-90,2020-01-08 14:50:54.982689,121
80:E1:26:07:C4:0A,-53,2020-01-08 14:50:55.928387,15
80:E1:26:07:E0:F2,-88,2020-01-08 14:51:02.515888,30
80:E1:26:07:E0:F2,-88,2020-01-08 14:51:01.189090,30
80:E1:26:07:C4:0A,-61,2020-01-08 14:51:05.941553,15
80:E1:26:07:E0:F2,-75,2020-01-08 14:51:06.946392,15
80:E1:26:07:C4:0A,-76,2020-01-08 14:51:14.935739,121
80:E1:26:07:C4:0A,-53,2020-01-08 14:51:15.971292,15
80:E1:26:07:E0:F2,-73,2020-01-08 14:51:16.974260,15
80:E1:26:07:C4:0A,-80,2020-01-08 14:51:24.927945,121
80:E1:26:07:C4:0A,-56,2020-01-08 14:51:25.989903,15
80:E1:26:07:E0:F2,-74,2020-01-08 14:51:27.265121,15
80:E1:26:07:C4:0A,-89,2020-01-08 14:51:34.987056,121
80:E1:26:07:C4:0A,-59,2020-01-08 14:51:35.989024,15
80:E1:26:07:E0:F2,-81,2020-01-08 14:51:36.989551,15
80:E1:26:07:E0:F2,-76,2020-01-08 14:51:41.248174,30
80:E1:26:07:E0:F2,-76,2020-01-08 14:51:42.533487,30
80:E1:26:07:C4:0A,-84,2020-01-08 14:51:44.990495,121
80:E1:26:07:C4:0A,-57,2020-01-08 14:51:46.024440,15
80:E1:26:07:E0:F2,-79,2020-01-08 14:51:47.018100,15
80:E1:26:07:C4:0A,-80,2020-01-08 14:51:51.300717,30
